Time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,Characteristic Time,Heat Loss to Room,Room Temperature,Teacup Temperature
25.375,30,0,0.125,0.125,10,1.0893318663215061,40,50.89331866321506
25.5,30,0,0.125,0.125,10,1.0757152179924874,40,50.75715217992487
25.625,30,0,0.125,0.125,10,1.0622687777675814,40,50.622687777675814
25.75,30,0,0.125,0.125,10,1.0489904180454865,40,50.489904180454865
25.875,30,0,0.125,0.125,10,1.0358780378199177,40,50.35878037819918
26.0,30,0,0.125,0.125,10,1.0229295623471686,40,50.229295623471685
26.125,30,0,0.125,0.125,10,1.0101429428178292,40,50.10142942817829
26.25,30,0,0.125,0.125,10,0.9975161560326065,40,49.975161560326065
26.375,30,0,0.125,0.125,10,0.9850472040821991,40,49.85047204082199
26.5,30,0,0.125,0.125,10,0.9727341140311715,40,49.727341140311715
26.625,30,0,0.125,0.125,10,0.9605749376057815,40,49.605749376057815
26.75,30,0,0.125,0.125,10,0.9485677508857094,40,49.485677508857094
26.875,30,0,0.125,0.125,10,0.9367106539996378,40,49.36710653999638
27.0,30,0,0.125,0.125,10,0.9250017708246425,40,49.250017708246425
27.125,30,0,0.125,0.125,10,0.9134392486893347,40,49.13439248689335
27.25,30,0,0.125,0.125,10,0.9020212580807183,40,49.02021258080718
27.375,30,0,0.125,0.125,10,0.8907459923547094,40,48.907459923547094
27.5,30,0,0.125,0.125,10,0.8796116674502755,40,48.796116674502755
27.625,30,0,0.125,0.125,10,0.8686165216071473,40,48.68616521607147
27.75,30,0,0.125,0.125,10,0.8577588150870582,40,48.57758815087058
27.875,30,0,0.125,0.125,10,0.8470368298984703,40,48.4703682989847
28.0,30,0,0.125,0.125,10,0.8364488695247395,40,48.364488695247395
28.125,30,0,0.125,0.125,10,0.8259932586556801,40,48.2599325865568
28.25,30,0,0.125,0.125,10,0.8156683429224841,40,48.15668342922484
28.375,30,0,0.125,0.125,10,0.805472488635953,40,48.05472488635953
28.5,30,0,0.125,0.125,10,0.7954040825280039,40,47.95404082528004
28.625,30,0,0.125,0.125,10,0.7854615314964036,40,47.854615314964036
28.75,30,0,0.125,0.125,10,0.7756432623526983,40,47.75643262352698
28.875,30,0,0.125,0.125,10,0.7659477215732899,40,47.6594772157329
29.0,30,0,0.125,0.125,10,0.7563733750536237,40,47.56373375053624
29.125,30,0,0.125,0.125,10,0.7469187078654536,40,47.469187078654535
29.25,30,0,0.125,0.125,10,0.7375822240171352,40,47.37582224017135
29.375,30,0,0.125,0.125,10,0.7283624462169207,40,47.28362446216921
29.5,30,0,0.125,0.125,10,0.7192579156392093,40,47.19257915639209
29.625,30,0,0.125,0.125,10,0.710267191693719,40,47.10267191693719
29.75,30,0,0.125,0.125,10,0.7013888517975474,40,47.013888517975474
29.875,30,0,0.125,0.125,10,0.6926214911500779,40,46.92621491150078
30.0,30,0,0.125,0.125,10,0.6839637225107019,40,46.83963722510702
